200733700001OSGN6   59  -3.2 999.9 140  7.2 10.8 999 9999.9 1011.9 99.9 99.9 99.9
200733700001OTNM4   09   0.7 999.9  30 11.8 15.9 999 9999.9 1008.5 99.9 99.9 99.9
200733700001OWXO1   49  10.7  10.2 210  2.6 99.9 999 9999.9 9999.9 99.9 99.9 99.9
200733700001PCLM4   09  -2.0 999.9  80  6.7 10.8 999 9999.9 1010.8 99.9 99.9 99.9
200733700001PILM4   09  -6.5 999.9  10  6.2 10.8 999 9999.9 1014.6 99.9 99.9 99.9
200733700001PNGW3   09  -2.3 999.9 340  9.8 12.3 999 9999.9 1014.9 99.9 99.9 99.9
200733700001PNGW3   09  -2.3 999.9 340  9.8 13.4 999 9999.9 1014.9 99.9 99.9 99.9
200733700001PNLM4   19  -0.3 999.9  10  3.1  4.6 999 9999.9 1005.8 99.9 99.9 99.9
200733700001PSCM4   29   4.1 999.9 160  2.1  3.1 999 9999.9 1000.3 99.9 99.9 99.9
200733700001PTIM4   09  -5.3 999.9  70  4.1  5.1 999 9999.9 1005.4 99.9 99.9 99.9
200733700001PWAW3   19   1.2 999.9 290  7.2 11.8 999 9999.9 1008.1 99.9 99.9 99.9
200733700001PWAW3   19   1.2 999.9 290  7.2 12.3 999 9999.9 1008.1 99.9 99.9 99.9
200733700001RCKM4   29 999.9 999.9  70  3.1  4.6 999 9999.9 1004.9 99.9 99.9 99.9
200733700001ROAM4   09  -4.5 999.9  10 13.4 14.9 999 9999.9 1014.5 99.9 99.9 99.9
